product_id,name,category,brand,description,eco_attributes,eco_score,price,rating,stock
PROD_0011,Eco Toothpaste,Beauty & Personal Care,EcoEssentials,"Eco Toothpaste from EcoEssentials. Category: Beauty & Personal Care. Features: Water Efficient, Carbon Neutral, Locally Sourced. Additional benefits: Energy Efficient, Biodegradable.","Water Efficient, Carbon Neutral, Locally Sourced, Energy Efficient, Biodegradable",44.99,145.74,3.7,96
PROD_0012,Green Laptop Max,Electronics,GreenLife,"Green Laptop Max from GreenLife. Category: Electronics. Features: Non-Toxic, Biodegradable, Carbon Neutral.","Non-Toxic, Biodegradable, Carbon Neutral",26.33,32.97,4.9,48
PROD_0013,Eco Board Game,Toys & Games,SustainableStyle,"Eco Board Game from SustainableStyle. Category: Toys & Games. Features: Renewable Materials, Organic, Recycled. Additional benefits: Sustainable.","Renewable Materials, Organic, Recycled, Sustainable",43.11,12.47,4.0,37
PROD_0014,Eco Handbook,Books,SustainableCo,"Eco Handbook from SustainableCo. Category: Books. Features: Organic, Fair Trade, Renewable Materials. Additional benefits: Biodegradable, Recycled.","Organic, Fair Trade, Renewable Materials, Biodegradable, Recycled",58.89,86.05,3.8,77
PROD_0015,Natural Snacks,Food & Beverages,SustainableCo,"Natural Snacks from SustainableCo. Category: Food & Beverages. Features: Biodegradable, Renewable Materials, Non-Toxic. Additional benefits: Organic.","Biodegradable, Renewable Materials, Non-Toxic, Organic",50.69,37.98,3.6,2
PROD_0016,Energy Efficient Linen Shirt,Clothing,PureEarth,"Energy Efficient Linen Shirt from PureEarth. Category: Clothing. Features: Energy Efficient, Organic, Sustainable. Additional benefits: Recycled.","Energy Efficient, Organic, Sustainable, Recycled",36.95,9.33,3.9,97
PROD_0017,Biodegradable Refrigerator Set,Home & Garden,SustainableCo,"Biodegradable Refrigerator Set from SustainableCo. Category: Home & Garden. Features: Renewable Materials, Biodegradable, Fair Trade. Additional benefits: Sustainable, Carbon Neutral.","Renewable Materials, Biodegradable, Fair Trade, Sustainable, Carbon Neutral",49.7,77.15,3.9,91
PROD_0018,Minimal Packaging Soap Cream,Beauty & Personal Care,EcoTech,"Minimal Packaging Soap Cream from EcoTech. Category: Beauty & Personal Care. Features: Minimal Packaging, Renewable Materials, Sustainable. Additional benefits: Recycled.","Minimal Packaging, Renewable Materials, Sustainable, Recycled",34.35,36.88,4.7,43
PROD_0019,Smart Water Efficient Air Conditioner,Electronics,EcoEssentials,"Smart Water Efficient Air Conditioner from EcoEssentials. Category: Electronics. Features: Water Efficient, Energy Efficient, Organic.","Water Efficient, Energy Efficient, Organic",25.62,54.02,3.5,29
PROD_0020,Organic Linen Tee,Clothing,EcoBrand,"Organic Linen Tee from EcoBrand. Category: Clothing. Features: Recycled, Renewable Materials, Energy Efficient. Additional benefits: Fair Trade.","Recycled, Renewable Materials, Energy Efficient, Fair Trade",44.91,67.37,4.6,69
PROD_0021,Carbon Neutral Air Conditioner Set,Home & Garden,EcoEssentials,"Carbon Neutral Air Conditioner Set from EcoEssentials. Category: Home & Garden. Features: Energy Efficient, Minimal Packaging, Carbon Neutral. Additional benefits: Sustainable, Recycled.","Energy Efficient, Minimal Packaging, Carbon Neutral, Sustainable, Recycled",47.8,25.86,4.8,54
PROD_0022,Eco Handbook,Books,GreenWave,"Eco Handbook from GreenWave. Category: Books. Features: Non-Toxic, Sustainable.","Non-Toxic, Sustainable",13.46,79.82,3.6,51
PROD_0023,Sustainable Water Bottle,Sports & Outdoors,GreenLife,"Sustainable Water Bottle from GreenLife. Category: Sports & Outdoors. Features: Energy Efficient, Sustainable, Renewable Materials.","Energy Efficient, Sustainable, Renewable Materials",28.47,12.72,4.6,23
PROD_0024,Renewable Materials Shampoo Cream,Beauty & Personal Care,GreenWave,"Renewable Materials Shampoo Cream from GreenWave. Category: Beauty & Personal Care. Features: Recycled, Minimal Packaging, Renewable Materials.","Recycled, Minimal Packaging, Renewable Materials",36.17,41.98,4.2,69
PROD_0025,Eco Speaker Pro,Electronics,GreenLife,"Eco Speaker Pro from GreenLife. Category: Electronics. Features: Biodegradable, Carbon Neutral, Minimal Packaging.","Biodegradable, Carbon Neutral, Minimal Packaging",30.81,19.76,4.6,7
PROD_0026,Eco Water,Home & Garden,EcoTech,"Eco Water from EcoTech. Category: Home & Garden. Features: Carbon Neutral, Fair Trade.","Carbon Neutral, Fair Trade",35.48,43.4,4.2,89
PROD_0027,Green Building Blocks,Toys & Games,SustainableCo,"Green Building Blocks from SustainableCo. Category: Toys & Games. Features: Fair Trade, Energy Efficient, Organic.","Fair Trade, Energy Efficient, Organic",17.9,63.91,3.5,40
PROD_0028,Smart Recycled Laptop,Electronics,EcoBrand,"Smart Recycled Laptop from EcoBrand. Category: Electronics. Features: Renewable Materials, Sustainable, Biodegradable. Additional benefits: Organic, Recycled.","Renewable Materials, Sustainable, Biodegradable, Organic, Recycled",37.91,76.25,4.3,8
PROD_0029,Natural Cereal,Food & Beverages,EcoTech,"Natural Cereal from EcoTech. Category: Food & Beverages. Features: Water Efficient, Energy Efficient.","Water Efficient, Energy Efficient",29.9,44.07,4.1,79
PROD_0030,Sustainable Linen,Clothing,EcoTech,"Sustainable Linen from EcoTech. Category: Clothing. Features: Fair Trade, Energy Efficient, Locally Sourced. Additional benefits: Non-Toxic.","Fair Trade, Energy Efficient, Locally Sourced, Non-Toxic",38.05,60.04,3.6,85
PROD_0031,Organic Deodorant Cream,Beauty & Personal Care,GreenWave,"Organic Deodorant Cream from GreenWave. Category: Beauty & Personal Care. Features: Recycled, Organic, Minimal Packaging. Additional benefits: Sustainable.","Recycled, Organic, Minimal Packaging, Sustainable",35.96,22.17,4.9,64
PROD_0032,Locally Sourced Toothpaste Cream,Beauty & Personal Care,SustainableCo,"Locally Sourced Toothpaste Cream from SustainableCo. Category: Beauty & Personal Care. Features: Recycled, Energy Efficient, Locally Sourced. Additional benefits: Fair Trade.","Recycled, Energy Efficient, Locally Sourced, Fair Trade",42.51,83.64,4.8,78
PROD_0033,Smart Recycled Laptop,Electronics,SustainableStyle,"Smart Recycled Laptop from SustainableStyle. Category: Electronics. Features: Non-Toxic, Recycled, Biodegradable. Additional benefits: Fair Trade.","Non-Toxic, Recycled, Biodegradable, Fair Trade",34.35,49.93,4.8,34
PROD_0034,Eco Lotion,Beauty & Personal Care,EcoEssentials,"Eco Lotion from EcoEssentials. Category: Beauty & Personal Care. Features: Sustainable, Locally Sourced, Energy Efficient.","Sustainable, Locally Sourced, Energy Efficient",38.86,38.11,4.8,62
PROD_0035,Natural Shampoo,Beauty & Personal Care,EcoBrand,"Natural Shampoo from EcoBrand. Category: Beauty & Personal Care. Features: Non-Toxic, Carbon Neutral.","Non-Toxic, Carbon Neutral",20.49,25.48,3.8,42
PROD_0036,Green Air Conditioner Kit,Home & Garden,NatureFirst,"Green Air Conditioner Kit from NatureFirst. Category: Home & Garden. Features: Sustainable, Minimal Packaging, Renewable Materials.","Sustainable, Minimal Packaging, Renewable Materials",42.37,26.22,4.8,1
PROD_0037,Organic Wool Tee,Clothing,GreenLife,"Organic Wool Tee from GreenLife. Category: Clothing. Features: Renewable Materials, Organic, Locally Sourced.","Renewable Materials, Organic, Locally Sourced",34.03,27.45,4.1,55
PROD_0038,Green LED Kit,Home & Garden,EcoBrand,"Green LED Kit from EcoBrand. Category: Home & Garden. Features: Locally Sourced, Organic, Sustainable. Additional benefits: Energy Efficient.","Locally Sourced, Organic, Sustainable, Energy Efficient",42.02,26.28,4.0,45
PROD_0039,Sustainable Living,Books,EcoEssentials,"Sustainable Living from EcoEssentials. Category: Books. Features: Energy Efficient, Biodegradable, Non-Toxic.","Energy Efficient, Biodegradable, Non-Toxic",28.19,45.75,4.3,94
PROD_0040,Sustainable Backpack,Sports & Outdoors,EcoTech,"Sustainable Backpack from EcoTech. Category: Sports & Outdoors. Features: Fair Trade, Biodegradable, Recycled.","Fair Trade, Biodegradable, Recycled",29.28,101.82,5.0,28
PROD_0041,Natural Tea,Food & Beverages,GreenWave,"Natural Tea from GreenWave. Category: Food & Beverages. Features: Fair Trade, Energy Efficient, Non-Toxic. Additional benefits: Organic.","Fair Trade, Energy Efficient, Non-Toxic, Organic",37.41,32.42,3.9,42
PROD_0042,Eco Deodorant,Beauty & Personal Care,GreenLife,"Eco Deodorant from GreenLife. Category: Beauty & Personal Care. Features: Locally Sourced, Non-Toxic, Renewable Materials. Additional benefits: Carbon Neutral.","Locally Sourced, Non-Toxic, Renewable Materials, Carbon Neutral",40.51,23.43,4.3,3
PROD_0043,Fair Trade Wool Shirt,Clothing,NatureFirst,"Fair Trade Wool Shirt from NatureFirst. Category: Clothing. Features: Water Efficient, Fair Trade, Organic.","Water Efficient, Fair Trade, Organic",33.04,42.15,3.7,44
PROD_0044,Carbon Neutral Yoga Mat Gear,Sports & Outdoors,EcoTech,"Carbon Neutral Yoga Mat Gear from EcoTech. Category: Sports & Outdoors. Features: Carbon Neutral, Water Efficient.","Carbon Neutral, Water Efficient",27.7,32.92,3.9,90
PROD_0045,Eco Handbook,Books,EcoBrand,"Eco Handbook from EcoBrand. Category: Books. Features: Locally Sourced, Carbon Neutral, Recycled.","Locally Sourced, Carbon Neutral, Recycled",34.71,60.43,3.9,40
PROD_0046,Organic Hemp Tee,Clothing,NatureFirst,"Organic Hemp Tee from NatureFirst. Category: Clothing. Features: Non-Toxic, Carbon Neutral, Locally Sourced. Additional benefits: Sustainable.","Non-Toxic, Carbon Neutral, Locally Sourced, Sustainable",37.99,100.2,4.4,24
PROD_0047,Sustainable Living,Books,EcoTech,"Sustainable Living from EcoTech. Category: Books. Features: Water Efficient, Sustainable, Fair Trade.","Water Efficient, Sustainable, Fair Trade",31.93,191.02,3.6,36
PROD_0048,Natural Juice,Food & Beverages,EcoTech,"Natural Juice from EcoTech. Category: Food & Beverages. Features: Minimal Packaging, Sustainable, Non-Toxic. Additional benefits: Energy Efficient.","Minimal Packaging, Sustainable, Non-Toxic, Energy Efficient",44.53,69.31,3.8,84
PROD_0049,Recycled Bamboo Shirt,Clothing,NatureFirst,"Recycled Bamboo Shirt from NatureFirst. Category: Clothing. Features: Recycled, Energy Efficient, Fair Trade. Additional benefits: Non-Toxic.","Recycled, Energy Efficient, Fair Trade, Non-Toxic",42.5,22.14,4.5,5
PROD_0050,Natural Cereal,Food & Beverages,GreenWave,"Natural Cereal from GreenWave. Category: Food & Beverages. Features: Minimal Packaging, Carbon Neutral.","Minimal Packaging, Carbon Neutral",31.05,24.72,3.8,91
PROD_0051,Carbon Neutral Guide,Books,GreenWave,"Carbon Neutral Guide from GreenWave. Category: Books. Features: Energy Efficient, Biodegradable, Organic. Additional benefits: Recycled, Carbon Neutral.","Energy Efficient, Biodegradable, Organic, Recycled, Carbon Neutral",39.69,48.37,4.5,59
PROD_0052,Eco Air Conditioner Pro,Electronics,SustainableStyle,"Eco Air Conditioner Pro from SustainableStyle. Category: Electronics. Features: Recycled, Minimal Packaging, Biodegradable.","Recycled, Minimal Packaging, Biodegradable",32.1,29.11,3.7,71
PROD_0053,Sustainable Water Bottle,Sports & Outdoors,GreenWave,"Sustainable Water Bottle from GreenWave. Category: Sports & Outdoors. Features: Renewable Materials, Minimal Packaging, Biodegradable. Additional benefits: Non-Toxic, Sustainable.","Renewable Materials, Minimal Packaging, Biodegradable, Non-Toxic, Sustainable",46.08,25.59,4.9,98
PROD_0054,Eco Board Game,Toys & Games,EarthFriendly,"Eco Board Game from EarthFriendly. Category: Toys & Games. Features: Minimal Packaging, Recycled, Fair Trade. Additional benefits: Energy Efficient.","Minimal Packaging, Recycled, Fair Trade, Energy Efficient",37.22,51.67,4.5,69
PROD_0055,Organic Bamboo Tee,Clothing,SustainableCo,"Organic Bamboo Tee from SustainableCo. Category: Clothing. Features: Energy Efficient, Carbon Neutral, Biodegradable.","Energy Efficient, Carbon Neutral, Biodegradable",35.14,94.23,4.3,53
PROD_0056,Eco Handbook,Books,PureEarth,"Eco Handbook from PureEarth. Category: Books. Features: Carbon Neutral, Organic, Energy Efficient. Additional benefits: Sustainable, Renewable Materials.","Carbon Neutral, Organic, Energy Efficient, Sustainable, Renewable Materials",43.38,28.09,4.8,48
PROD_0057,Green Puzzle,Toys & Games,EcoBrand,"Green Puzzle from EcoBrand. Category: Toys & Games. Features: Fair Trade, Carbon Neutral, Non-Toxic. Additional benefits: Renewable Materials.","Fair Trade, Carbon Neutral, Non-Toxic, Renewable Materials",40.3,61.9,4.0,28
PROD_0058,Natural Soap,Beauty & Personal Care,EcoTech,"Natural Soap from EcoTech. Category: Beauty & Personal Care. Features: Organic, Carbon Neutral, Locally Sourced. Additional benefits: Non-Toxic, Biodegradable.","Organic, Carbon Neutral, Locally Sourced, Non-Toxic, Biodegradable",54.5,16.55,4.8,68
PROD_0059,Eco Tablet Pro,Electronics,EcoTech,"Eco Tablet Pro from EcoTech. Category: Electronics. Features: Recycled, Non-Toxic.","Recycled, Non-Toxic",22.25,43.69,4.5,23
PROD_0060,Eco Charger Pro,Electronics,NatureFirst,"Eco Charger Pro from NatureFirst. Category: Electronics. Features: Locally Sourced, Energy Efficient, Minimal Packaging. Additional benefits: Sustainable, Renewable Materials.","Locally Sourced, Energy Efficient, Minimal Packaging, Sustainable, Renewable Materials",46.13,65.23,3.5,32
PROD_0061,Sustainable Hemp Shirt,Clothing,GreenWave,"Sustainable Hemp Shirt from GreenWave. Category: Clothing. Features: Sustainable, Renewable Materials.","Sustainable, Renewable Materials",27.47,18.7,3.5,83
PROD_0062,Energy Efficient Wool Shirt,Clothing,EcoBrand,"Energy Efficient Wool Shirt from EcoBrand. Category: Clothing. Features: Energy Efficient, Sustainable.","Energy Efficient, Sustainable",26.87,12.51,4.5,30
PROD_0063,Eco Water,Home & Garden,GreenWave,"Eco Water from GreenWave. Category: Home & Garden. Features: Water Efficient, Energy Efficient.","Water Efficient, Energy Efficient",22.04,55.99,4.6,21
PROD_0064,Organic Linen Tee,Clothing,SustainableCo,"Organic Linen Tee from SustainableCo. Category: Clothing. Features: Recycled, Water Efficient, Organic. Additional benefits: Fair Trade.","Recycled, Water Efficient, Organic, Fair Trade",38.24,13.41,4.6,91
PROD_0065,Recycled Cereal,Food & Beverages,GreenLife,"Recycled Cereal from GreenLife. Category: Food & Beverages. Features: Recycled, Fair Trade, Water Efficient.","Recycled, Fair Trade, Water Efficient",43.82,46.07,4.5,44
PROD_0066,Sustainable Living,Books,PureEarth,"Sustainable Living from PureEarth. Category: Books. Features: Renewable Materials, Non-Toxic.","Renewable Materials, Non-Toxic",16.66,37.21,4.1,62
PROD_0067,Biodegradable Wool Shirt,Clothing,EcoTech,"Biodegradable Wool Shirt from EcoTech. Category: Clothing. Features: Non-Toxic, Minimal Packaging, Biodegradable. Additional benefits: Carbon Neutral.","Non-Toxic, Minimal Packaging, Biodegradable, Carbon Neutral",37.55,17.24,5.0,78
PROD_0068,Locally Sourced Board Game Set,Toys & Games,GreenWave,"Locally Sourced Board Game Set from GreenWave. Category: Toys & Games. Features: Sustainable, Water Efficient, Fair Trade. Additional benefits: Locally Sourced, Energy Efficient.","Sustainable, Water Efficient, Fair Trade, Locally Sourced, Energy Efficient",51.39,27.34,4.4,31
PROD_0069,Eco Puzzle,Toys & Games,EcoEssentials,"Eco Puzzle from EcoEssentials. Category: Toys & Games. Features: Locally Sourced, Organic, Minimal Packaging. Additional benefits: Sustainable, Biodegradable.","Locally Sourced, Organic, Minimal Packaging, Sustainable, Biodegradable",47.07,105.94,4.4,33
PROD_0070,Energy Efficient Water Bottle Gear,Sports & Outdoors,NatureFirst,"Energy Efficient Water Bottle Gear from NatureFirst. Category: Sports & Outdoors. Features: Renewable Materials, Organic, Sustainable. Additional benefits: Energy Efficient.","Renewable Materials, Organic, Sustainable, Energy Efficient",34.97,32.21,4.6,62
PROD_0071,Organic Tea,Food & Beverages,GreenWave,"Organic Tea from GreenWave. Category: Food & Beverages. Features: Minimal Packaging, Organic, Recycled. Additional benefits: Fair Trade, Energy Efficient.","Minimal Packaging, Organic, Recycled, Fair Trade, Energy Efficient",49.65,48.71,4.9,84
PROD_0072,Eco Running,Sports & Outdoors,GreenWave,"Eco Running from GreenWave. Category: Sports & Outdoors. Features: Carbon Neutral, Renewable Materials, Locally Sourced. Additional benefits: Water Efficient.","Carbon Neutral, Renewable Materials, Locally Sourced, Water Efficient",41.38,59.88,4.9,39
PROD_0073,Natural Shampoo,Beauty & Personal Care,EarthFriendly,"Natural Shampoo from EarthFriendly. Category: Beauty & Personal Care. Features: Sustainable, Energy Efficient.","Sustainable, Energy Efficient",19.77,9.86,4.8,24
PROD_0074,Renewable Materials Tea,Food & Beverages,GreenWave,"Renewable Materials Tea from GreenWave. Category: Food & Beverages. Features: Sustainable, Water Efficient, Renewable Materials. Additional benefits: Fair Trade.","Sustainable, Water Efficient, Renewable Materials, Fair Trade",42.37,21.97,4.3,29
PROD_0075,Biodegradable Backpack Gear,Sports & Outdoors,SustainableCo,"Biodegradable Backpack Gear from SustainableCo. Category: Sports & Outdoors. Features: Organic, Renewable Materials, Biodegradable. Additional benefits: Fair Trade.","Organic, Renewable Materials, Biodegradable, Fair Trade",42.87,45.07,4.4,89
PROD_0076,Eco Fridge,Home & Garden,GreenWave,"Eco Fridge from GreenWave. Category: Home & Garden. Features: Organic, Water Efficient.","Organic, Water Efficient",29.15,17.34,5.0,56
PROD_0077,Minimal Packaging Backpack Gear,Sports & Outdoors,SustainableCo,"Minimal Packaging Backpack Gear from SustainableCo. Category: Sports & Outdoors. Features: Fair Trade, Minimal Packaging.","Fair Trade, Minimal Packaging",26.29,13.27,4.8,62
PROD_0078,Organic Hemp Tee,Clothing,EcoEssentials,"Organic Hemp Tee from EcoEssentials. Category: Clothing. Features: Biodegradable, Sustainable.","Biodegradable, Sustainable",30.36,77.71,4.6,31
PROD_0079,Sustainable Linen,Clothing,SustainableStyle,"Sustainable Linen from SustainableStyle. Category: Clothing. Features: Water Efficient, Sustainable, Non-Toxic. Additional benefits: Energy Efficient, Carbon Neutral.","Water Efficient, Sustainable, Non-Toxic, Energy Efficient, Carbon Neutral",43.11,15.64,4.7,75
PROD_0080,Recycled Guide,Books,NatureFirst,"Recycled Guide from NatureFirst. Category: Books. Features: Water Efficient, Recycled.","Water Efficient, Recycled",22.52,40.68,4.9,84
PROD_0081,Renewable Materials Cotton Shirt,Clothing,SustainableCo,"Renewable Materials Cotton Shirt from SustainableCo. Category: Clothing. Features: Biodegradable, Renewable Materials, Recycled.","Biodegradable, Renewable Materials, Recycled",36.58,722.12,4.7,57
PROD_0082,Green Board Game,Toys & Games,NatureFirst,"Green Board Game from NatureFirst. Category: Toys & Games. Features: Energy Efficient, Fair Trade.","Energy Efficient, Fair Trade",29.65,73.01,4.7,9
PROD_0083,Recycled Tea,Food & Beverages,NatureFirst,"Recycled Tea from NatureFirst. Category: Food & Beverages. Features: Carbon Neutral, Recycled, Renewable Materials.","Carbon Neutral, Recycled, Renewable Materials",37.42,60.77,4.1,18
PROD_0084,Sustainable Linen,Clothing,EcoBrand,"Sustainable Linen from EcoBrand. Category: Clothing. Features: Fair Trade, Water Efficient, Non-Toxic.","Fair Trade, Water Efficient, Non-Toxic",34.83,16.7,3.6,59
PROD_0085,Renewable Materials Deodorant Cream,Beauty & Personal Care,EcoTech,"Renewable Materials Deodorant Cream from EcoTech. Category: Beauty & Personal Care. Features: Renewable Materials, Sustainable, Minimal Packaging. Additional benefits: Water Efficient.","Renewable Materials, Sustainable, Minimal Packaging, Water Efficient",51.57,7.43,3.9,55
PROD_0086,Eco Yoga Mat,Sports & Outdoors,EcoEssentials,"Eco Yoga Mat from EcoEssentials. Category: Sports & Outdoors. Features: Organic, Recycled, Energy Efficient. Additional benefits: Sustainable.","Organic, Recycled, Energy Efficient, Sustainable",39.93,35.31,3.6,97
PROD_0087,Water Efficient Fridge Set,Home & Garden,GreenWave,"Water Efficient Fridge Set from GreenWave. Category: Home & Garden. Features: Fair Trade, Biodegradable, Water Efficient. Additional benefits: Carbon Neutral, Minimal Packaging.","Fair Trade, Biodegradable, Water Efficient, Carbon Neutral, Minimal Packaging",49.64,79.14,3.7,52
PROD_0088,Sustainable Running,Sports & Outdoors,PureEarth,"Sustainable Running from PureEarth. Category: Sports & Outdoors. Features: Biodegradable, Locally Sourced.","Biodegradable, Locally Sourced",33.8,36.7,3.8,84
PROD_0089,Sustainable Living,Books,SustainableStyle,"Sustainable Living from SustainableStyle. Category: Books. Features: Minimal Packaging, Recycled.","Minimal Packaging, Recycled",17.35,39.38,3.6,14
PROD_0090,Sustainable Living,Books,SustainableStyle,"Sustainable Living from SustainableStyle. Category: Books. Features: Non-Toxic, Renewable Materials.","Non-Toxic, Renewable Materials",32.95,144.71,4.5,24
PROD_0091,Eco Water Bottle,Sports & Outdoors,EcoEssentials,"Eco Water Bottle from EcoEssentials. Category: Sports & Outdoors. Features: Non-Toxic, Minimal Packaging, Organic. Additional benefits: Energy Efficient, Fair Trade.","Non-Toxic, Minimal Packaging, Organic, Energy Efficient, Fair Trade",39.87,38.44,4.7,56
PROD_0092,Water Efficient Puzzle Set,Toys & Games,GreenLife,"Water Efficient Puzzle Set from GreenLife. Category: Toys & Games. Features: Non-Toxic, Water Efficient.","Non-Toxic, Water Efficient",20.78,8.71,3.6,70
PROD_0093,Green Tablet Max,Electronics,SustainableStyle,"Green Tablet Max from SustainableStyle. Category: Electronics. Features: Recycled, Energy Efficient, Sustainable. Additional benefits: Minimal Packaging, Water Efficient.","Recycled, Energy Efficient, Sustainable, Minimal Packaging, Water Efficient",47.52,66.19,4.1,91
PROD_0094,Natural Deodorant,Beauty & Personal Care,SustainableStyle,"Natural Deodorant from SustainableStyle. Category: Beauty & Personal Care. Features: Carbon Neutral, Minimal Packaging, Non-Toxic. Additional benefits: Energy Efficient.","Carbon Neutral, Minimal Packaging, Non-Toxic, Energy Efficient",38.33,25.68,3.9,49
PROD_0095,Organic Cereal,Food & Beverages,EcoEssentials,"Organic Cereal from EcoEssentials. Category: Food & Beverages. Features: Recycled, Fair Trade, Carbon Neutral.","Recycled, Fair Trade, Carbon Neutral",47.83,45.79,4.5,0
PROD_0096,Natural Deodorant,Beauty & Personal Care,NatureFirst,"Natural Deodorant from NatureFirst. Category: Beauty & Personal Care. Features: Biodegradable, Minimal Packaging, Renewable Materials. Additional benefits: Non-Toxic, Locally Sourced.","Biodegradable, Minimal Packaging, Renewable Materials, Non-Toxic, Locally Sourced",49.89,124.1,4.4,48
PROD_0097,Eco Puzzle,Toys & Games,PureEarth,"Eco Puzzle from PureEarth. Category: Toys & Games. Features: Sustainable, Energy Efficient, Water Efficient.","Sustainable, Energy Efficient, Water Efficient",23.4,22.48,4.0,5
PROD_0098,Organic Camping Gear,Sports & Outdoors,GreenWave,"Organic Camping Gear from GreenWave. Category: Sports & Outdoors. Features: Carbon Neutral, Non-Toxic, Biodegradable. Additional benefits: Minimal Packaging, Organic.","Carbon Neutral, Non-Toxic, Biodegradable, Minimal Packaging, Organic",48.81,148.06,3.6,42
PROD_0099,Minimal Packaging Bamboo Shirt,Clothing,GreenWave,"Minimal Packaging Bamboo Shirt from GreenWave. Category: Clothing. Features: Renewable Materials, Minimal Packaging.","Renewable Materials, Minimal Packaging",9.79,14.59,3.8,83
PROD_0100,Eco Refrigerator,Home & Garden,GreenLife,"Eco Refrigerator from GreenLife. Category: Home & Garden. Features: Fair Trade, Locally Sourced, Water Efficient. Additional benefits: Carbon Neutral, Recycled.","Fair Trade, Locally Sourced, Water Efficient, Carbon Neutral, Recycled",42.03,11.7,4.4,40
PROD_0101,Water Efficient Board Game Set,Toys & Games,SustainableStyle,"Water Efficient Board Game Set from SustainableStyle. Category: Toys & Games. Features: Water Efficient, Recycled.","Water Efficient, Recycled",20.8,36.77,4.1,95
PROD_0102,Sustainable Bamboo,Clothing,EcoTech,"Sustainable Bamboo from EcoTech. Category: Clothing. Features: Non-Toxic, Recycled.","Non-Toxic, Recycled",26.29,216.67,4.8,3
PROD_0103,Eco Television Pro,Electronics,PureEarth,"Eco Television Pro from PureEarth. Category: Electronics. Features: Fair Trade, Locally Sourced.","Fair Trade, Locally Sourced",16.09,47.93,3.6,31
PROD_0104,Eco Handbook,Books,EcoEssentials,"Eco Handbook from EcoEssentials. Category: Books. Features: Biodegradable, Sustainable, Recycled.","Biodegradable, Sustainable, Recycled",27.99,34.77,4.4,87
PROD_0105,Organic Snacks,Food & Beverages,GreenWave,"Organic Snacks from GreenWave. Category: Food & Beverages. Features: Energy Efficient, Minimal Packaging, Fair Trade.","Energy Efficient, Minimal Packaging, Fair Trade",39.57,56.24,4.1,1
PROD_0106,Green Board Game,Toys & Games,NatureFirst,"Green Board Game from NatureFirst. Category: Toys & Games. Features: Recycled, Minimal Packaging, Locally Sourced.","Recycled, Minimal Packaging, Locally Sourced",27.92,179.3,4.3,54
PROD_0107,Minimal Packaging Toothpaste Cream,Beauty & Personal Care,GreenWave,"Minimal Packaging Toothpaste Cream from GreenWave. Category: Beauty & Personal Care. Features: Energy Efficient, Carbon Neutral, Minimal Packaging. Additional benefits: Recycled.","Energy Efficient, Carbon Neutral, Minimal Packaging, Recycled",39.24,53.02,4.9,73
